epoch,lr,train_loss,train_acc,test_loss,test_acc,raw_acc,mixed_ratio,epoch_time,best_acc
1,0.020800,2.0141,28.80,1.8485,36.15,36.15,0.000,64.1,36.15
2,0.040600,1.7679,40.50,1.6546,46.14,46.14,0.000,10.5,46.14
3,0.060400,1.5419,51.87,1.5267,53.58,53.58,0.000,10.6,53.58
4,0.080200,1.3801,60.63,1.3766,61.57,61.57,0.000,10.6,61.57
5,0.100000,1.2774,65.46,1.2885,67.67,67.67,0.000,10.6,67.67
6,0.099973,1.1722,70.79,1.2264,67.93,67.93,0.000,10.6,67.93
7,0.099891,1.0824,74.70,1.1182,73.37,73.37,0.000,10.6,73.37
8,0.099754,1.0251,77.38,1.1544,71.42,71.42,0.000,10.7,73.37
9,0.099563,0.9797,79.30,1.0062,78.19,78.19,0.000,11.0,78.19
10,0.099318,0.9488,80.81,1.0443,76.96,76.96,0.000,10.6,78.19
11,0.099019,0.9287,81.33,0.8866,83.38,83.38,0.000,10.6,83.38
12,0.098666,0.9035,82.51,0.9037,83.35,83.35,0.000,10.6,83.38
13,0.098260,0.8868,83.25,0.9589,80.49,80.49,0.000,10.6,83.38
14,0.097802,0.8753,83.79,0.8937,83.03,83.03,0.000,10.6,83.38
15,0.097291,0.8615,84.27,0.8874,83.61,83.61,0.000,10.6,83.61
16,0.096728,0.8498,84.85,0.8528,85.04,85.04,0.000,10.6,85.04
17,0.096114,0.8414,85.28,0.8835,83.22,83.22,0.000,10.6,85.04
18,0.095450,0.8300,85.75,0.8471,84.95,84.95,0.000,10.6,85.04
19,0.094736,0.8227,85.99,0.8754,83.84,83.84,0.000,10.6,85.04
20,0.093974,0.8147,86.40,0.8729,83.74,83.74,0.000,10.6,85.04
21,0.093163,0.8076,86.61,0.8619,84.63,84.63,0.000,10.6,85.04
22,0.092305,0.8016,87.03,0.8240,85.93,85.93,0.000,10.6,85.93
23,0.091400,0.7941,87.27,0.8391,85.35,85.35,0.000,10.6,85.93
24,0.090451,0.7934,87.27,0.8184,86.51,86.51,0.000,10.6,86.51
25,0.089457,0.7846,87.60,0.8450,85.14,85.14,0.000,10.6,86.51
26,0.088420,0.7822,87.82,0.8350,85.99,85.99,0.000,10.7,86.51
27,0.087341,0.7721,88.25,0.8084,86.75,86.75,0.000,10.6,86.75
28,0.086221,0.7735,88.24,0.8841,83.92,83.92,0.000,10.6,86.75
29,0.085062,0.7661,88.37,0.8591,84.73,84.73,0.000,10.6,86.75
30,0.083864,0.7602,88.74,0.8053,86.91,86.91,0.000,10.6,86.91
