epoch,lr,train_loss,train_acc,test_loss,test_acc,raw_acc,mixed_ratio,epoch_time,best_acc
1,0.020800,2.0144,28.86,1.8429,35.72,35.72,0.000,128.3,35.72
2,0.040600,1.7700,40.62,1.6220,47.56,47.56,0.000,12.5,47.56
3,0.060400,1.5490,51.79,1.5720,51.90,51.90,0.000,12.4,51.90
4,0.080200,1.3820,60.57,1.3648,62.44,62.44,0.000,12.4,62.44
5,0.100000,1.2714,65.94,1.2527,68.26,68.26,0.000,12.6,68.26
6,0.099994,1.1668,71.15,1.1764,69.80,69.80,0.000,12.8,69.80
7,0.099974,1.0790,74.95,1.1248,72.60,72.60,0.000,12.4,72.60
8,0.099942,1.0240,77.31,1.0601,76.07,76.07,0.000,12.4,76.07
9,0.099896,0.9802,79.17,0.9658,80.05,80.05,0.000,12.4,80.05
10,0.099838,0.9500,80.39,1.0426,76.75,76.75,0.000,12.4,80.05
11,0.099767,0.9284,81.30,0.9489,80.32,80.32,0.000,12.3,80.32
12,0.099682,0.9084,82.21,0.9742,79.36,79.36,0.000,12.4,80.32
13,0.099585,0.8932,83.09,0.9526,80.54,80.54,0.000,12.3,80.54
14,0.099475,0.8762,83.65,0.9785,79.17,79.17,0.000,12.4,80.54
15,0.099353,0.8666,83.99,0.9596,80.16,80.16,0.000,12.4,80.54
16,0.099217,0.8530,84.78,0.8865,82.91,82.91,0.000,12.3,82.91
17,0.099069,0.8493,84.89,0.8948,82.98,82.98,0.000,12.3,82.98
18,0.098907,0.8332,85.67,0.8657,83.92,83.92,0.000,12.2,83.92
19,0.098734,0.8286,85.84,0.8331,85.64,85.64,0.000,12.3,85.64
20,0.098547,0.8196,86.19,0.8954,82.92,82.92,0.000,12.2,85.64
21,0.098348,0.8146,86.36,0.8355,85.06,85.06,0.000,12.3,85.64
22,0.098136,0.8101,86.65,0.8648,84.38,84.38,0.000,12.3,85.64
23,0.097912,0.8013,86.92,0.8160,86.09,86.09,0.000,12.3,86.09
24,0.097676,0.8000,87.03,0.8348,85.19,85.19,0.000,12.3,86.09
25,0.097427,0.7959,87.25,0.9059,82.46,82.46,0.000,12.3,86.09
26,0.097166,0.7884,87.36,0.8270,86.16,86.16,0.000,12.3,86.16
27,0.096892,0.7865,87.54,0.8175,86.06,86.06,0.000,12.3,86.16
28,0.096606,0.7866,87.54,0.8361,85.61,85.61,0.000,12.3,86.16
29,0.096309,0.7814,87.83,0.9539,81.01,81.01,0.000,12.3,86.16
30,0.095999,0.7761,88.12,0.8240,85.97,85.97,0.000,12.3,86.16
31,0.095677,0.7723,88.25,0.8172,86.23,86.23,0.000,12.3,86.23
32,0.095344,0.7713,88.25,0.8097,86.99,86.99,0.000,12.2,86.99
33,0.094998,0.7656,88.48,0.7855,87.75,87.75,0.000,12.2,87.75
34,0.094641,0.7675,88.33,0.8215,85.93,85.93,0.000,12.3,87.75
35,0.094273,0.7609,88.69,0.8573,84.96,84.96,0.000,12.3,87.75
36,0.093893,0.7614,88.70,0.7982,87.14,87.14,0.000,12.2,87.75
37,0.093501,0.7567,88.84,0.8505,85.38,85.38,0.000,12.3,87.75
38,0.093098,0.7568,88.85,0.8051,86.83,86.83,0.000,12.3,87.75
39,0.092685,0.7523,89.09,0.7856,88.00,88.00,0.000,12.2,88.00
40,0.092260,0.7513,89.15,0.8504,85.00,85.00,0.000,12.3,88.00
41,0.091824,0.7512,89.08,0.7974,87.27,87.27,0.000,12.3,88.00
42,0.091377,0.7467,89.26,0.8039,86.92,86.92,0.000,12.2,88.00
43,0.090919,0.7431,89.53,0.7734,87.89,87.89,0.000,12.3,88.00
44,0.090451,0.7419,89.69,0.8179,86.64,86.64,0.000,12.3,88.00
45,0.089972,0.7405,89.72,0.7774,88.06,88.06,0.000,12.2,88.06
46,0.089483,0.7388,89.65,0.7695,88.84,88.84,0.000,12.2,88.84
47,0.088984,0.7383,89.69,0.7916,87.61,87.61,0.000,12.3,88.84
48,0.088474,0.7325,90.07,0.8098,86.34,86.34,0.000,12.1,88.84
49,0.087955,0.7328,89.94,0.7718,88.19,88.19,0.000,12.3,88.84
50,0.087426,0.7315,89.94,0.7729,88.39,88.39,0.000,12.3,88.84
51,0.086887,0.7282,90.18,0.7382,89.74,89.74,0.000,12.3,89.74
52,0.086338,0.7289,90.17,0.7581,88.68,88.68,0.000,12.2,89.74
53,0.085780,0.7275,90.13,0.7656,88.65,88.65,0.000,12.2,89.74
54,0.085213,0.7237,90.37,0.7994,87.39,87.39,0.000,12.3,89.74
55,0.084636,0.7231,90.37,0.7577,88.77,88.77,0.000,12.1,89.74
56,0.084051,0.7197,90.46,0.8025,87.43,87.43,0.000,12.3,89.74
57,0.083457,0.7212,90.43,0.7797,87.97,87.97,0.000,12.2,89.74
58,0.082854,0.7234,90.44,0.7446,89.51,89.51,0.000,12.2,89.74
59,0.082242,0.7168,90.58,0.7788,87.90,87.90,0.000,12.3,89.74
60,0.081622,0.7182,90.54,0.7663,88.50,88.50,0.000,12.2,89.74
61,0.080994,0.7127,90.79,0.7709,88.62,88.62,0.000,12.3,89.74
