epoch,lr,train_loss,train_acc,test_loss,test_acc,raw_acc,mixed_ratio,epoch_time,best_acc
1,0.020800,2.1651,20.64,1.9196,33.88,30.74,0.492,75.6,33.88
2,0.040600,2.0323,27.45,1.7301,43.00,39.09,0.479,14.0,43.00
3,0.060400,1.8873,34.81,1.5075,54.24,47.08,0.503,14.0,54.24
4,0.080200,1.7351,43.51,1.3092,63.62,53.92,0.490,14.1,63.62
5,0.100000,1.6617,47.62,1.1982,69.30,63.42,0.521,14.1,69.30
6,0.099973,1.5771,51.36,1.1204,73.08,66.60,0.495,14.2,73.08
7,0.099891,1.5037,54.68,1.0469,76.66,72.65,0.482,14.0,76.66
8,0.099754,1.4610,55.23,0.9777,79.53,73.96,0.536,14.0,79.53
9,0.099563,1.3865,59.47,0.9253,81.64,76.32,0.492,13.9,81.64
10,0.099318,1.3729,59.25,0.8844,83.69,74.15,0.487,13.9,83.69
11,0.099019,1.3650,59.91,0.8587,85.08,78.84,0.531,14.0,85.08
12,0.098666,1.2964,63.74,0.8364,86.07,78.82,0.459,13.9,86.07
13,0.098260,1.3322,59.86,0.8205,86.67,75.75,0.526,13.9,86.67
14,0.097802,1.2884,64.61,0.8069,87.18,79.53,0.469,13.9,87.18
15,0.097291,1.2925,63.93,0.7944,87.78,82.25,0.482,13.9,87.78
16,0.096728,1.2572,64.78,0.7832,88.43,83.31,0.485,13.9,88.43
17,0.096114,1.2776,62.82,0.7749,88.79,81.32,0.538,13.9,88.79
18,0.095450,1.2449,64.83,0.7665,89.18,78.57,0.490,13.9,89.18
19,0.094736,1.2385,64.62,0.7584,89.40,84.05,0.505,13.9,89.40
20,0.093974,1.2422,64.27,0.7516,89.77,82.81,0.513,13.9,89.77
21,0.093163,1.1994,68.12,0.7435,90.23,84.87,0.446,13.9,90.23
22,0.092305,1.2192,66.46,0.7363,90.44,85.65,0.505,13.9,90.44
23,0.091400,1.2184,66.43,0.7310,90.74,85.42,0.495,13.9,90.74
24,0.090451,1.2781,64.61,0.7306,90.94,81.08,0.551,13.9,90.94
25,0.089457,1.1696,68.37,0.7242,91.08,84.55,0.477,13.9,91.08
26,0.088420,1.2063,68.75,0.7193,91.13,83.97,0.490,13.9,91.13
27,0.087341,1.1958,65.93,0.7158,91.20,87.10,0.477,13.8,91.20
28,0.086221,1.1834,67.04,0.7116,91.42,86.70,0.479,13.8,91.42
29,0.085062,1.1597,69.17,0.7082,91.63,85.60,0.474,13.8,91.63
30,0.083864,1.2130,65.18,0.7056,91.65,86.55,0.521,13.8,91.65
31,0.082629,1.1684,68.25,0.7016,91.89,87.72,0.497,13.8,91.89
32,0.081359,1.1476,68.14,0.6967,92.17,86.64,0.490,13.8,92.17
33,0.080054,1.1828,69.70,0.6946,92.31,87.66,0.490,13.8,92.31
34,0.078716,1.1610,68.91,0.6906,92.49,86.12,0.477,13.8,92.49
35,0.077347,1.2066,65.80,0.6902,92.53,87.94,0.541,13.8,92.53
36,0.075948,1.1644,68.02,0.6885,92.63,85.90,0.492,13.9,92.63
37,0.074521,1.1706,66.86,0.6877,92.70,87.85,0.526,13.9,92.70
38,0.073067,1.1385,70.06,0.6847,92.80,87.59,0.487,13.8,92.80
39,0.071588,1.1762,67.81,0.6841,92.77,88.19,0.549,13.8,92.80
40,0.070085,1.1827,68.17,0.6833,92.72,88.75,0.538,13.8,92.80
41,0.068560,1.1393,69.61,0.6796,92.82,87.50,0.497,13.8,92.82
42,0.067015,1.1706,68.50,0.6790,93.07,88.92,0.523,13.8,93.07
