epoch,lr,train_loss,train_acc,test_loss,test_acc,raw_acc,mixed_ratio,epoch_time,best_acc
1,0.020800,2.1648,20.78,1.9147,34.74,31.51,0.492,130.7,34.74
2,0.040600,2.0337,27.44,1.7318,43.40,38.31,0.479,13.9,43.40
3,0.060400,1.8924,34.69,1.5138,54.18,45.28,0.503,14.0,54.18
4,0.080200,1.7399,43.37,1.3187,63.67,52.73,0.490,14.0,63.67
5,0.100000,1.6662,47.32,1.2049,69.17,61.13,0.521,13.9,69.17
6,0.099994,1.5810,50.91,1.1279,72.83,66.05,0.495,13.9,72.83
7,0.099974,1.5108,54.31,1.0527,76.30,72.13,0.482,13.9,76.30
8,0.099942,1.4667,55.02,0.9830,79.38,75.13,0.536,13.9,79.38
9,0.099896,1.3938,59.18,0.9267,81.73,74.03,0.492,13.9,81.73
10,0.099838,1.3740,59.32,0.8857,83.78,77.49,0.487,13.9,83.78
11,0.099767,1.3704,59.81,0.8600,84.95,78.19,0.531,13.9,84.95
12,0.099682,1.3003,63.65,0.8370,85.71,81.98,0.459,13.9,85.71
13,0.099585,1.3349,59.77,0.8218,86.39,81.01,0.526,13.9,86.39
14,0.099475,1.2910,64.75,0.8078,86.96,76.24,0.469,13.9,86.96
15,0.099353,1.2901,64.10,0.7964,87.56,81.65,0.482,13.9,87.56
16,0.099217,1.2619,64.63,0.7850,88.08,82.44,0.485,13.9,88.08
17,0.099069,1.2808,62.70,0.7768,88.60,80.36,0.538,13.9,88.60
18,0.098907,1.2488,64.70,0.7676,89.03,76.25,0.490,13.9,89.03
19,0.098734,1.2420,64.40,0.7594,89.45,82.29,0.505,13.9,89.45
20,0.098547,1.2460,64.31,0.7539,89.66,82.88,0.513,13.8,89.66
21,0.098348,1.2048,68.19,0.7464,89.93,83.31,0.446,13.9,89.93
22,0.098136,1.2244,66.27,0.7417,90.08,84.00,0.505,13.8,90.08
23,0.097912,1.2229,66.01,0.7357,90.31,85.04,0.495,13.8,90.31
24,0.097676,1.2821,64.62,0.7343,90.63,83.36,0.551,13.8,90.63
25,0.097427,1.1782,67.80,0.7294,90.77,79.51,0.477,13.8,90.77
26,0.097166,1.2141,68.24,0.7269,91.02,84.12,0.490,13.9,91.02
27,0.096892,1.2034,65.63,0.7228,91.16,86.36,0.477,13.8,91.16
28,0.096606,1.1939,66.60,0.7172,91.36,85.02,0.479,13.8,91.36
29,0.096309,1.1721,68.53,0.7146,91.61,82.15,0.474,13.9,91.61
30,0.095999,1.2273,64.57,0.7114,91.73,86.20,0.521,13.9,91.73
31,0.095677,1.1812,67.96,0.7078,91.79,86.70,0.497,13.9,91.79
32,0.095344,1.1616,67.64,0.7048,91.76,87.30,0.490,13.8,91.79
33,0.094998,1.1956,69.20,0.7019,91.91,84.78,0.490,13.8,91.91
34,0.094641,1.1806,68.07,0.6985,92.08,86.31,0.477,13.8,92.08
35,0.094273,1.2247,65.01,0.6981,92.18,85.07,0.541,13.9,92.18
36,0.093893,1.1843,67.21,0.6965,92.27,86.06,0.492,13.8,92.27
37,0.093501,1.1912,66.04,0.6957,92.29,87.20,0.526,13.8,92.29
38,0.093098,1.1620,68.90,0.6937,92.39,85.61,0.487,13.8,92.39
39,0.092685,1.1992,66.84,0.6930,92.42,86.78,0.549,13.8,92.42
40,0.092260,1.2073,67.25,0.6936,92.45,88.24,0.538,13.8,92.45
41,0.091824,1.1682,68.58,0.6903,92.74,87.36,0.497,13.9,92.74
42,0.091377,1.2010,67.35,0.6894,92.67,88.21,0.523,13.8,92.74
43,0.090919,1.1772,66.58,0.6878,92.71,88.28,0.510,13.8,92.74
44,0.090451,1.1523,69.95,0.6839,92.71,88.02,0.479,13.8,92.74
45,0.089972,1.1520,70.25,0.6810,92.87,83.03,0.490,13.8,92.87
46,0.089483,1.1521,69.08,0.6792,92.97,85.44,0.497,13.8,92.97
47,0.088984,1.1944,67.18,0.6799,92.97,87.18,0.528,13.8,92.97
48,0.088474,1.1569,70.49,0.6780,93.16,87.59,0.492,13.8,93.16
49,0.087955,1.1819,67.39,0.6779,93.04,87.69,0.546,13.8,93.16
50,0.087426,1.1421,69.39,0.6766,93.09,86.37,0.482,13.8,93.16
51,0.086887,1.1417,69.39,0.6738,93.24,87.30,0.487,13.8,93.24
52,0.086338,1.1785,67.65,0.6746,93.25,87.28,0.518,13.8,93.25
53,0.085780,1.1425,69.08,0.6738,93.29,86.02,0.487,13.8,93.29
54,0.085213,1.1586,67.97,0.6743,93.12,86.29,0.523,13.9,93.29
55,0.084636,1.1345,70.81,0.6722,93.31,88.43,0.490,13.8,93.31
56,0.084051,1.1479,71.35,0.6717,93.23,88.01,0.497,13.8,93.31
57,0.083457,1.1474,69.26,0.6696,93.51,88.49,0.490,13.8,93.51
58,0.082854,1.1637,68.14,0.6689,93.40,88.33,0.518,13.8,93.51
59,0.082242,1.1750,68.45,0.6685,93.44,87.42,0.556,13.8,93.51
60,0.081622,1.1059,71.21,0.6654,93.47,88.84,0.456,13.8,93.51
61,0.080994,1.1408,69.36,0.6652,93.51,88.38,0.497,13.8,93.51
62,0.080358,1.1495,69.22,0.6651,93.48,88.51,0.515,13.8,93.51
