epoch,lr,train_loss,train_acc,test_loss,test_acc,raw_acc,mixed_ratio,epoch_time,best_acc
1,0.041600,2.1812,18.38,2.0202,28.73,28.13,0.492,228.3,28.73
2,0.081200,1.9486,32.17,1.5166,53.17,41.66,0.492,89.0,53.17
3,0.120800,1.7778,41.70,1.3069,63.74,58.62,0.482,89.1,63.74
4,0.160400,1.6424,49.39,1.1642,70.04,62.03,0.477,88.7,70.04
5,0.200000,1.5847,50.13,1.0819,73.96,69.05,0.518,88.8,73.96
6,0.199987,1.5103,54.48,1.0070,77.70,60.55,0.487,89.1,77.70
7,0.199948,1.4462,57.17,0.9511,80.60,67.12,0.482,88.9,80.60
8,0.199883,1.4300,59.47,0.9061,82.78,74.85,0.497,88.8,82.78
9,0.199792,1.4380,60.10,0.8809,83.99,72.14,0.528,88.9,83.99
10,0.199676,1.3910,59.40,0.8592,84.78,78.34,0.513,88.9,84.78
11,0.199533,1.3641,61.75,0.8365,85.85,80.62,0.467,89.0,85.85
12,0.199365,1.3643,60.37,0.8229,86.61,77.57,0.523,88.8,86.61
13,0.199171,1.3235,63.55,0.8079,86.98,80.42,0.446,89.0,86.98
14,0.198951,1.3355,62.39,0.7976,87.48,77.60,0.518,88.6,87.48
15,0.198705,1.3253,62.07,0.7874,87.94,80.07,0.508,88.6,87.94
16,0.198434,1.3347,60.77,0.7786,88.43,77.82,0.564,88.9,88.43
17,0.198137,1.2884,64.68,0.7702,88.67,52.94,0.492,88.8,88.67
18,0.197815,1.2658,64.53,0.7617,88.73,84.61,0.492,88.6,88.73
19,0.197467,1.2746,64.57,0.7559,89.16,81.03,0.477,88.7,89.16
20,0.197094,1.2974,61.84,0.7508,89.42,78.50,0.497,89.3,89.42
21,0.196696,1.3096,64.65,0.7472,89.68,83.45,0.554,88.6,89.68
22,0.196273,1.2756,62.37,0.7430,89.75,81.71,0.508,88.3,89.75
23,0.195825,1.2658,66.54,0.7381,90.16,81.79,0.487,88.1,90.16
24,0.195351,1.2024,67.08,0.7331,90.32,76.29,0.431,88.3,90.32
25,0.194854,1.3001,61.60,0.7296,90.49,84.18,0.554,88.4,90.49
26,0.194331,1.2478,63.55,0.7255,90.79,80.45,0.497,88.3,90.79
27,0.193784,1.2640,65.94,0.7222,90.85,81.74,0.508,88.5,90.85
28,0.193213,1.2154,68.57,0.7177,91.05,81.49,0.431,88.3,91.05
29,0.192617,1.2257,68.32,0.7146,91.17,81.23,0.436,88.4,91.17
30,0.191998,1.2656,64.51,0.7117,91.23,81.62,0.528,88.2,91.23
31,0.191355,1.1876,68.88,0.7080,91.33,87.84,0.451,88.0,91.33
32,0.190687,1.2487,64.49,0.7053,91.29,84.45,0.518,88.2,91.33
33,0.189997,1.2252,65.48,0.7028,91.45,85.29,0.559,88.2,91.45
34,0.189283,1.2421,64.34,0.7015,91.63,86.09,0.518,88.4,91.63
35,0.188546,1.2216,67.48,0.6992,91.82,86.30,0.508,88.2,91.82
36,0.187785,1.1902,66.23,0.6971,91.82,83.50,0.472,88.4,91.82
37,0.187002,1.2054,65.36,0.6951,91.92,86.24,0.513,88.3,91.92
38,0.186197,1.1988,67.23,0.6933,91.97,88.62,0.497,88.3,91.97
39,0.185369,1.2128,65.97,0.6920,91.99,82.08,0.508,88.2,91.99
40,0.184519,1.2037,66.49,0.6902,92.15,86.49,0.518,88.4,92.15
41,0.183647,1.1920,68.27,0.6886,92.21,80.42,0.487,88.2,92.21
42,0.182753,1.1369,71.96,0.6858,92.30,86.06,0.405,88.2,92.30
43,0.181838,1.2084,67.28,0.6844,92.31,87.40,0.533,88.1,92.31
44,0.180902,1.1612,68.97,0.6824,92.35,87.65,0.477,88.0,92.35
45,0.179944,1.1795,69.02,0.6807,92.47,86.34,0.472,88.0,92.47
46,0.178966,1.1945,66.84,0.6788,92.51,85.29,0.518,88.0,92.51
47,0.177967,1.2635,64.43,0.6787,92.55,85.65,0.554,88.0,92.55
48,0.176949,1.2301,68.04,0.6779,92.60,86.89,0.549,88.1,92.60
49,0.175910,1.1559,68.40,0.6757,92.67,86.27,0.497,87.9,92.67
50,0.174851,1.1213,71.08,0.6733,92.76,86.95,0.456,87.8,92.76
51,0.173773,1.2171,67.31,0.6726,92.90,86.28,0.549,87.9,92.90
52,0.172676,1.1226,73.88,0.6702,92.88,89.28,0.431,87.9,92.90
53,0.171560,1.1688,67.91,0.6686,92.99,88.97,0.492,88.0,92.99
54,0.170425,1.1590,67.64,0.6672,93.06,85.23,0.462,87.8,93.06
55,0.169272,1.1880,66.95,0.6662,93.14,87.22,0.503,88.0,93.14
56,0.168102,1.1170,70.57,0.6642,93.16,88.80,0.456,87.9,93.16
57,0.166913,1.1384,70.24,0.6630,93.26,87.68,0.482,88.3,93.26
58,0.165707,1.1111,71.72,0.6613,93.26,83.66,0.467,87.9,93.26
59,0.164484,1.1922,67.58,0.6605,93.25,86.97,0.497,87.8,93.26
60,0.163245,1.1701,65.62,0.6595,93.36,87.07,0.544,88.4,93.36
61,0.161988,1.1520,69.01,0.6578,93.43,89.29,0.508,87.8,93.43
62,0.160716,1.1235,70.62,0.6562,93.55,86.69,0.487,87.9,93.55
63,0.159428,1.1227,69.90,0.6545,93.60,88.09,0.492,87.9,93.60
64,0.158125,1.1143,69.46,0.6530,93.78,87.74,0.487,87.9,93.78
65,0.156806,1.1583,69.46,0.6526,93.90,83.03,0.492,87.8,93.90
66,0.155473,1.1409,72.89,0.6516,93.92,87.80,0.487,87.8,93.92
67,0.154126,1.1707,68.72,0.6511,93.93,87.29,0.503,87.8,93.93
68,0.152764,1.0909,72.35,0.6494,94.02,89.20,0.451,66.1,94.02
69,0.151389,1.2031,66.22,0.6493,93.95,88.49,0.569,70.9,94.02
70,0.150000,1.1566,68.02,0.6488,94.02,88.51,0.513,71.5,94.02
71,0.148598,1.1341,68.42,0.6481,94.01,89.22,0.508,76.3,94.02
72,0.147184,1.1316,70.85,0.6475,94.01,88.25,0.477,73.3,94.02
73,0.145758,1.1439,69.26,0.6466,94.05,87.96,0.544,69.8,94.05
74,0.144319,1.1409,67.35,0.6453,94.13,87.41,0.508,69.1,94.13
75,0.142869,1.1126,70.36,0.6442,94.25,90.05,0.503,68.4,94.25
76,0.141408,1.1084,72.20,0.6425,94.25,88.10,0.472,68.1,94.25
77,0.139936,1.1554,69.71,0.6424,94.28,91.10,0.574,66.7,94.28
78,0.138454,1.1413,68.58,0.6420,94.28,89.95,0.523,66.5,94.28
79,0.136962,1.1602,71.02,0.6419,94.44,90.92,0.538,66.9,94.44
80,0.135460,1.1415,68.22,0.6415,94.37,90.76,0.538,67.8,94.44
81,0.133950,1.0833,70.87,0.6398,94.37,89.96,0.467,67.0,94.44
82,0.132430,1.1306,71.75,0.6392,94.48,89.23,0.528,66.7,94.48
83,0.130902,1.1578,68.42,0.6387,94.52,89.93,0.564,71.3,94.52
84,0.129366,1.1182,72.22,0.6378,94.59,88.87,0.482,72.1,94.59
85,0.127822,1.1070,69.40,0.6370,94.74,90.84,0.492,69.3,94.74
86,0.126271,1.1279,69.13,0.6361,94.74,90.49,0.528,63.4,94.74
87,0.124713,1.0750,73.45,0.6348,94.84,89.96,0.467,66.3,94.84
88,0.123149,1.0922,72.82,0.6342,94.83,91.12,0.492,68.5,94.84
89,0.121578,1.0859,74.51,0.6333,94.80,91.20,0.482,68.4,94.84
90,0.120003,1.0875,71.29,0.6323,94.97,90.82,0.497,71.3,94.97
91,0.118422,1.0982,73.40,0.6310,94.94,89.64,0.518,70.9,94.97
92,0.116836,1.0705,71.65,0.6299,95.05,90.46,0.477,71.1,95.05
93,0.115246,1.1514,70.24,0.6299,95.05,90.85,0.549,68.0,95.05
94,0.113651,1.0981,69.68,0.6293,95.02,91.73,0.508,66.2,95.05
95,0.112054,1.0624,75.01,0.6275,95.15,90.47,0.462,65.4,95.15
96,0.110453,1.1054,72.44,0.6268,95.15,91.07,0.523,66.1,95.15
97,0.108849,1.0880,70.80,0.6263,95.15,90.56,0.559,65.9,95.15
98,0.107243,1.1319,69.77,0.6258,95.17,91.46,0.533,66.0,95.17
99,0.105636,1.0604,72.81,0.6249,95.26,91.50,0.477,65.5,95.26
100,0.104027,1.0785,72.42,0.6241,95.21,92.17,0.487,68.2,95.26
101,0.102416,1.0453,75.18,0.6233,95.25,91.23,0.451,68.4,95.26
102,0.100806,1.0689,70.92,0.6222,95.38,91.88,0.523,65.3,95.38
103,0.099194,1.0847,72.57,0.6220,95.37,91.18,0.467,67.6,95.38
104,0.097584,1.1058,70.02,0.6220,95.39,92.05,0.569,70.8,95.39
105,0.095973,1.0979,72.15,0.6214,95.42,92.42,0.544,68.5,95.42
106,0.094364,1.0297,72.96,0.6206,95.39,92.08,0.431,68.4,95.42
107,0.092757,1.1232,68.11,0.6206,95.37,92.37,0.579,68.2,95.42
108,0.091151,1.0303,74.75,0.6191,95.38,92.28,0.467,68.7,95.42
109,0.089547,1.0486,74.91,0.6183,95.43,91.90,0.492,68.9,95.43
110,0.087946,1.0418,74.53,0.6174,95.49,92.48,0.487,71.9,95.49
111,0.086349,1.0811,74.78,0.6168,95.53,92.90,0.508,70.9,95.53
112,0.084754,1.0326,76.24,0.6158,95.62,92.04,0.487,68.4,95.62
113,0.083164,1.0569,72.68,0.6156,95.64,93.31,0.492,67.4,95.64
114,0.081578,1.0467,73.80,0.6150,95.65,92.42,0.487,71.9,95.65
115,0.079997,1.0785,73.60,0.6148,95.70,93.14,0.513,72.7,95.70
116,0.078422,1.0557,70.92,0.6148,95.72,93.39,0.523,71.2,95.72
117,0.076851,1.0756,72.75,0.6146,95.80,92.00,0.549,73.5,95.80
118,0.075287,1.0807,72.38,0.6144,95.79,93.38,0.564,72.2,95.80
119,0.073729,1.0071,74.53,0.6132,95.82,92.81,0.446,67.0,95.82
120,0.072178,0.9992,76.70,0.6117,95.82,93.11,0.467,66.0,95.82
121,0.070634,1.0195,74.00,0.6109,95.87,92.93,0.482,63.4,95.87
122,0.069098,1.0504,73.61,0.6105,95.89,93.85,0.513,64.5,95.89
123,0.067570,1.0582,69.87,0.6103,95.79,93.73,0.544,64.5,95.89
124,0.066050,1.0213,77.36,0.6097,95.84,93.25,0.487,63.6,95.89
125,0.064540,0.9789,76.55,0.6086,95.94,93.53,0.446,64.5,95.94
126,0.063038,1.0628,72.66,0.6091,95.99,93.08,0.513,68.5,95.99
127,0.061546,1.0028,75.11,0.6079,96.08,94.00,0.456,63.2,96.08
128,0.060064,1.0521,72.28,0.6076,96.13,93.94,0.549,64.0,96.13
129,0.058592,1.0254,73.65,0.6068,96.26,94.06,0.559,68.6,96.26
130,0.057131,0.9995,77.29,0.6057,96.19,93.35,0.477,71.7,96.26
131,0.055681,1.0061,75.86,0.6051,96.26,94.32,0.492,72.6,96.26
132,0.054242,0.9830,77.94,0.6040,96.33,92.99,0.462,78.6,96.33
133,0.052816,1.0144,78.55,0.6033,96.35,94.54,0.523,74.2,96.35
134,0.051402,0.9587,76.90,0.6023,96.42,93.83,0.451,77.9,96.42
135,0.050000,1.0046,74.85,0.6020,96.50,93.95,0.533,64.7,96.50
136,0.048611,1.0004,74.42,0.6014,96.49,94.39,0.518,66.9,96.50
137,0.047236,1.0027,77.33,0.6006,96.51,94.70,0.477,71.1,96.51
138,0.045874,0.9786,76.61,0.6004,96.53,93.88,0.492,71.8,96.53
139,0.044527,1.0381,74.92,0.6007,96.52,94.51,0.544,72.2,96.53
140,0.043194,0.9787,76.53,0.5996,96.52,94.35,0.497,72.2,96.53
141,0.041875,1.0222,72.33,0.6000,96.55,94.50,0.554,90.2,96.55
142,0.040572,0.9540,75.27,0.5993,96.58,94.12,0.472,87.8,96.58
143,0.039284,0.9450,80.12,0.5983,96.51,94.51,0.472,87.7,96.58
144,0.038012,0.9338,78.99,0.5972,96.55,95.07,0.508,82.8,96.58
145,0.036755,0.9897,75.69,0.5971,96.59,95.19,0.528,65.5,96.59
146,0.035516,0.9975,73.73,0.5968,96.57,95.26,0.533,66.1,96.59
147,0.034293,0.9616,79.25,0.5965,96.58,95.27,0.462,65.3,96.59
148,0.033087,0.9818,75.99,0.5965,96.69,95.28,0.508,65.2,96.69
149,0.031898,0.9314,77.26,0.5956,96.72,95.62,0.487,65.4,96.72
150,0.030728,0.9503,76.58,0.5953,96.80,95.26,0.508,65.3,96.80
151,0.029575,0.9640,77.74,0.5951,96.80,95.36,0.477,65.3,96.80
152,0.028440,0.9141,79.22,0.5939,96.87,95.31,0.472,65.3,96.87
153,0.027324,0.9519,77.22,0.5930,96.83,95.40,0.497,65.1,96.87
154,0.026227,0.9897,74.76,0.5936,96.78,95.24,0.544,87.8,96.87
155,0.025149,0.9489,74.90,0.5935,96.80,95.53,0.523,87.9,96.87
156,0.024090,0.9899,76.64,0.5934,96.81,95.62,0.538,87.6,96.87
157,0.023051,0.9323,80.02,0.5927,96.80,95.96,0.462,87.6,96.87
158,0.022033,0.9760,75.23,0.5924,96.94,96.00,0.554,87.8,96.94
159,0.021034,0.8986,79.70,0.5913,96.92,95.89,0.446,87.6,96.94
160,0.020056,0.9499,76.29,0.5908,96.97,95.88,0.554,87.7,96.97
161,0.019098,0.9617,77.82,0.5906,96.98,95.64,0.528,87.8,96.98
162,0.018162,0.9568,75.75,0.5904,97.00,96.00,0.508,88.0,97.00
163,0.017247,0.9477,79.09,0.5897,97.07,96.33,0.513,88.1,97.07
164,0.016353,0.9282,78.86,0.5887,97.12,96.41,0.497,79.9,97.12
165,0.015481,0.8982,78.38,0.5876,97.18,96.47,0.497,60.8,97.18
166,0.014631,0.8833,78.90,0.5864,97.19,96.31,0.482,63.7,97.19
167,0.013803,0.9237,81.02,0.5862,97.14,96.31,0.538,63.8,97.19
168,0.012998,0.9100,78.13,0.5862,97.15,96.48,0.523,63.6,97.19
169,0.012215,0.8768,82.52,0.5856,97.16,96.15,0.472,63.5,97.19
170,0.011454,0.8569,82.28,0.5849,97.14,96.42,0.421,65.4,97.19
171,0.010717,0.9068,79.92,0.5849,97.20,96.58,0.487,65.8,97.20
172,0.010003,0.9170,77.72,0.5852,97.25,96.50,0.538,65.3,97.25
173,0.009313,0.8876,79.54,0.5852,97.20,96.89,0.518,68.8,97.25
174,0.008645,0.8324,83.01,0.5838,97.19,96.75,0.456,70.6,97.25
175,0.008002,0.8862,79.57,0.5836,97.22,96.75,0.518,70.3,97.25
176,0.007383,0.8952,81.44,0.5838,97.25,96.83,0.487,70.9,97.25
177,0.006787,0.8676,78.37,0.5834,97.28,96.90,0.482,70.9,97.28
178,0.006216,0.8843,80.24,0.5834,97.26,96.96,0.538,70.5,97.28
179,0.005669,0.8979,81.95,0.5836,97.27,96.82,0.513,70.4,97.28
180,0.005146,0.8684,84.06,0.5833,97.27,96.89,0.462,64.7,97.28
181,0.004649,0.8517,85.72,0.5831,97.28,96.97,0.503,62.8,97.28
182,0.004175,0.8820,80.54,0.5831,97.27,97.15,0.518,62.6,97.28
183,0.003727,0.8647,82.19,0.5832,97.31,97.07,0.513,64.7,97.31
184,0.003304,0.7940,85.79,0.5818,97.38,97.21,0.410,69.0,97.38
185,0.002906,0.8771,83.64,0.5817,97.40,97.24,0.518,68.6,97.40
186,0.002533,0.8480,83.58,0.5816,97.40,97.19,0.477,68.6,97.40
187,0.002185,0.8429,81.03,0.5814,97.41,97.33,0.467,68.3,97.41
188,0.001863,0.8549,81.12,0.5816,97.40,97.24,0.472,68.3,97.41
189,0.001566,0.8862,78.10,0.5824,97.38,97.27,0.544,68.3,97.41
190,0.001295,0.8390,81.58,0.5820,97.40,97.36,0.472,69.1,97.41
191,0.001049,0.8752,79.90,0.5821,97.38,97.38,0.544,68.7,97.41
192,0.000829,0.8638,82.53,0.5822,97.37,97.38,0.508,68.7,97.41
193,0.000635,0.8713,82.72,0.5823,97.33,97.41,0.492,69.1,97.41
194,0.000467,0.8169,83.07,0.5815,97.35,97.41,0.462,69.1,97.41
195,0.000324,0.8394,82.81,0.5813,97.40,97.43,0.492,72.2,97.41
196,0.000208,0.8361,77.82,0.5811,97.43,97.47,0.497,71.6,97.43
197,0.000117,0.8751,81.66,0.5814,97.44,97.49,0.544,70.3,97.44
198,0.000052,0.8773,80.01,0.5818,97.46,97.45,0.523,69.4,97.46
199,0.000013,0.8455,79.82,0.5817,97.46,97.57,0.497,69.5,97.46
200,0.000000,0.7743,85.69,0.5804,97.50,97.53,0.426,70.2,97.50
